通番号,公示年度,スキーム,分野,調査・事業名,提案法人名,代表法人所在地,外部人材（コンサルティング企業）,対象国
62,2020,案件化調査（中小企業支援型）,保健医療,地域の感染症医療サービス向上に向けた簡易PCR検査導入の取り組み案件化調査,株式会社TBA,宮城県,【契約交渉中】,インド
63,2016,案件化調査（中小企業支援型）,防災・災害対策,水硬性固化材(ハイデガス)を活用した気候変動対策にかかる案件化調査,株式会社ハシカンプラ、土木地質株式会社 共同企業体,宮城県,株式会社RTアシスト、株式会社オオマエ,キリバス
,,,,,,,,
,,,,,,,,
64,2015,案件化調査（中小企業支援型）,その他,効率的な鉄道線路保守作業の導入に係る案件化調査,東研工業株式会社,宮城県,ジェイアール東日本コンサルタンツ株式会社,モンゴル
,,,,,,,,
,,,,,,,,
65,2016,案件化調査（中小企業支援型）,その他,アスファルト廃棄物を活用した循環型舗装技術の導入に関する案件化調査,株式会社菅原工業,宮城県,有限責任監査法人トーマツ,インドネシア
,,,,,,,,
,,,,,,,,
66,2015,普及・実証・ビジネス化事業（中小企業支援型）,水の浄化・水処理,自然エネルギーを活用した「災害対応型ウォーター・ステーション」普及・実証事業,株式会社いちごホールディングス,宮城県,株式会社建設技術研究所、株式会社オオマエ,ミクロネシア連邦
,,,,,,,,
67,2013,普及・実証・ビジネス化事業（中小企業支援型）,農業,野菜果物の通年生産を可能とする水耕栽培技術の普及・実証事業,株式会社GRA,宮城県,株式会社パデコ,インド
,,,,,,,,
,,,,,,,,
,,,,,,,,
68,2018,普及・実証・ビジネス化事業（中小企業支援型）,保健医療,弱視の子どもたちの視力回復に向けた普及・実証・ビジネス化事業,ヤグチ電子工業株式会社,宮城県,一般財団法人日本気象協会,インド
69,2014,基礎調査,環境・エネルギー,空気攪拌装置による温室効果ガス排出削減事業に向けた基礎調査(中小企業連携促進),空調企業株式会社、株式会社アイ・シー・エイチジャパン 共同企業体,宮城県,(なし),インドネシア
,,,,,,,,
,,,,,,,,
70,2011,協力準備調査（BOPビジネス連携促進）,福祉,障がい者の社会復帰を目指す足こぎ車いすBOP事業準備調査(BOPビジネス連携促進),株式会社TESS、一般社団法人日本の夜明け塾、日本テピア株式会社 共同企業体,宮城県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
71,2019,案件化調査（中小企業支援型）,防災・災害対策,斜面災害予防ソリュ-ションに関する案件化調査,奥山ボーリング株式会社、株式会社オサシ・テクノス 共同企業体,秋田県,株式会社建設技研インターナショナル,ベトナム
72,2014,基礎調査,農業,籾殻ボード普及による籾殻再利用促進に向けた事業可能性調査(中小企業連携促進),株式会社能代資源、株式会社大和総研 共同企業体,秋田県,有限会社ホァンドク商会,ベトナム
,,,,,,,,
,,,,,,,,
73,2015,民間技術普及促進事業,農業,稲作高付加価値化技術普及促進事業,株式会社大潟村あきたこまち生産者協会,秋田県,PwCサステナビリティ合同会社、PT PricewaterhouseCoopers Indonesia Advisory,インドネシア
,,,,,,,,
,,,,,,,,
,,,,,,,,
74,2014,案件化調査（中小企業支援型）,廃棄物処理,混合廃棄物処理システム構築に係る案件化調査,株式会社クリーンシステム,山形県,カーボンフリーコンサルティング株式会社、一般財団法人日本国際協力システム,ジョージア
,,,,,,,,
,,,,,,,,
75,2016,案件化調査（中小企業支援型）,廃棄物処理,パラナ州における有機性汚泥の乾燥処理技術に係る案件化調査,東北クリーン開発株式会社,山形県,カーボンフリーコンサルティング株式会社、株式会社日本開発サービス,ブラジル
,,,,,,,,
,,,,,,,,
76,2016,案件化調査（中小企業支援型）,農業,堆肥発酵促進剤を活用した耕畜連携の案件化調査,有限会社ワーコム農業研究所,山形県,アイ・シー・ネット株式会社,モンゴル
,,,,,,,,
,,,,,,,,
77,2019,案件化調査（中小企業支援型）,農業,部分耕・不耕起播種機開発のための案件化調査,株式会社メタルプロダクツ、株式会社石井製作所 共同企業体,山形県,株式会社パデコ,モルドバ
78,2019,案件化調査（中小企業支援型）,保健医療,腸内細菌叢に基づく早期大腸がん検出技術を用いた大腸がん診断の案件化調査【途上国発イノベーション枠】,株式会社メタジェン,山形県,【契約交渉中】,マレーシア
79,2015,案件化調査（中小企業支援型）,環境・エネルギー,伝導性金属酸化物のガラスコーティング技術を活用した省エネ化・温暖化抑止のための案件化調査,株式会社フミン,福島県,"アクセンチュア株式会社、SALESREP INTER Co., Ltd.",タイ
,,,,,,,,
,,,,,,,,
80,2018,案件化調査（中小企業支援型）,環境・エネルギー,断熱塗料の活用による暖房需要及び大気汚染の軽減に関する案件化調査,株式会社清水,福島県,有限責任監査法人トーマツ,モンゴル
81,2012,案件化調査（中小企業支援型）,廃棄物処理,ベトナム社会主義共和国における産業・医療廃棄物処理問題に対する焼却炉普及に向けたODA案件調査,入三機材株式会社、株式会社会川アジアビジネス研究所、株式会社浜銀総合研究所 共同企業体,福島県,(なし),ベトナム
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
82,2014,案件化調査（中小企業支援型）,水の浄化・水処理,浄化槽維持・管理技術の導入による生活排水処理水準の向上に向けた案件化調査,株式会社環境分析研究所、株式会社昭和衛生センター、株式会社カンスイ(旧本多設備工業株式会社) 共同企業体,福島県,株式会社大和総研,ベトナム
,,,,,,,,
,,,,,,,,
83,2017,案件化調査（中小企業支援型）,農業,バトゥ市青果物のサプライチェーン再構築と福島との共同ブランディング事業案件化調査,株式会社銀嶺食品,福島県,イー・アール・エム日本株式会社,インドネシア
,,,,,,,,
,,,,,,,,
84,2019,案件化調査（中小企業支援型）,その他,低コスト型短橋梁建設技術に関する案件化調査,矢田工業株式会社,福島県,株式会社大和総研,ベトナム
